"Year week","Pizza","Price offer","Christmas","New year","17th of May - National day","Easter","Kr. Himmelfart (Ascension day)","Pinse (pentecost)","Summer vacation","Temperature","Precipitation","Sun","Campaign 1","Campaign 2","Campaign 3","Campaign 4","Campaign 5","Campaign 6","Campaign 7","Campaign 8","Campaign 9","Campaign 10","Campaign 11","Campaign 12","Campaign 13","Campaign 14","Campaign 15","Campaign 16","Campaign17","Campaign 18","Competitor 1","Competitor 2","Competitor 3","Competitor 4","Competitor 5","Competitor 6","Competitor 7"
"52",94.9329595888811,11.7470459018057,1,0,0,0,0,0,0,1.73674305136156,39.6308774651796,1.93847327331462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.3,0,0,0,23.9,0
"2018-1",92.770847932726,0.986486833298541,0,1,0,0,0,0,0,-2.16544587585849,23.723603102049,4.43691603601123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0
"2018-2",101.850969399673,0.00108038163634072,0,0,0,0,0,0,0,0.301281742606788,35.7364798590792,5.41948402111597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,0
"2018-3",160.071011445924,9.40818804487283,0,0,0,0,0,0,0,1.79972322235986,53.2110374681145,4.07727053414316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.1,0,0,0,39.4,0
"2018-4",111.451530016351,0.419571124689635,0,0,0,0,0,0,0,-0.482385950213397,19.8193367873401,7.93601096117387,0,0,0,0,0,99.3,60.9,0,0,0,0,0,0,0,0,0,0,0,0,177.2,0,0,0,42.7,0
"2018-5",127.7738846064,0.692195711841706,0,0,0,0,0,0,0,-0.373739422657609,47.2961035456034,7.37639630166595,0,0,0,0,0,196.3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1,0
"6",129.086661994861,0.570724973463534,0,0,0,0,0,0,0,1.6943608316694,20.224902561224,4.47212282462653,0,0,0,0,0,68.8,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7,0
"7",162.086428404578,6.36964044920591,0,0,0,0,0,0,0,-0.787600539102608,21.2971872091019,9.79786502526854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0
"8",100.294323756132,0.000109315527762527,0,0,0,0,0,0,0,3.0369826183734,28.7346306129893,5.12970071633142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.8,0,0,44.1,0
"9",157.395001167951,7.19759693612855,0,0,0,0,0,0,0,1.32207780091417,30.3796971398661,7.09596418629004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.5,0,0,40.5,0
"10",111.623452464377,1.71117132436228,0,0,0,0,0,0,0,0.0518835285628522,30.7090324075731,7.9925973046254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,0,0,38,0
"11",123.638402242467,1.59474398379545,0,0,0,1,0,0,0,2.62761960862606,21.5471172533945,9.90058052314797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.7,0,0,32.6,0
